los_score,distance_to_rail_m,geometry,hash,number,street,unit,city,district,region,postcode,id
1,12.106391106146996,POINT (-87.633054 41.7065498),00585a9404bc72f0,361,W 103RD ST,,,,,,
1,47.002601176737166,POINT (-87.6184398 41.7133353),8d41d7aa574930d0,9909,S INDIANA AVE,,,,,,
1,30.551330391038615,POINT (-87.62141990000002 41.7142278),65b8507ade30bc77,51,E 99TH ST,,,,,,
1,40.40007072640299,POINT (-87.6207665 41.71401289999999),837ae2b5a772451f,9800,S MICHIGAN AVE,,,,,,
1,93.67046649467763,POINT (-87.6233184 41.7142327),3795efa84bb6dfca,9905,S STATE ST,,,,,,
1,24.747887251830427,POINT (-87.6223048 41.714212899999985),31a6a04df9e3c78d,53,E 99TH ST,,,,,,
1,46.93504072447216,POINT (-87.62174299999998 41.71376660000001),1a854826289351dc,50,E 99TH PL,,,,,,
1,97.99994205293619,POINT (-87.62257139999998 41.7137541),d3668ebb25f39203,28,E 99TH PL,,,,,,
0,97.96334966058456,POINT (-87.6344168 41.7204147),83f222282d5ef134,409,W 95TH PL,,,,,,
0,85.76100222662119,POINT (-87.63430719999998 41.7204161),a2c211dff0d2b896,405,W 95TH PL,,,,,,
0,92.99055739281737,POINT (-87.63436219999998 41.7200468),a7bd4da203cc246a,406,W 96TH ST,,,,,,
